# Written by the BoltzWann module of the Wannier90 code.
# [Electrical conductivity in SI units, i.e. in 1/Ohm/m]
# Mu(eV) Temp(K) ElCond_xx ElCond_xy ElCond_yy ElCond_xz ElCond_yz ElCond_zz
  -3.644610813       300.0000000       40832.13197      -2015.186673       14395.56619       25.67209883      -3.593844265      0.3711032917E-01
  -3.639610813       300.0000000       41796.87766      -2111.441920       14643.23164       25.38208028      -4.056990668      0.3595597175E-01
  -3.634610813       300.0000000       42544.18625      -2135.142472       14936.85792       24.86269390      -4.467593366      0.3467710517E-01
  -3.629610813       300.0000000       43052.34359      -2096.472642       15281.54571       24.12182870      -4.844621859      0.3330892552E-01
  -3.624610813       300.0000000       43305.24834      -2005.977647       15683.41316       23.17383543      -5.207204087      0.3189322309E-01
  -3.619610813       300.0000000       43292.25505      -1874.001743       16147.84622       22.03793994      -5.573895628      0.3047578091E-01
  -3.614610813       300.0000000       43008.21237      -1710.266076       16677.81855       20.73670690      -5.961945856      0.2910382272E-01
  -3.609610813       300.0000000       42453.74196      -1523.625456       17272.50360       19.29468744      -6.386559732      0.2782361435E-01
  -3.604610813       300.0000000       41635.69371      -1322.007431       17926.33491       17.73732906      -6.860169141      0.2667827797E-01
  -3.599610813       300.0000000       40567.61111      -1112.499304       18628.58429       16.09017574      -7.391742952      0.2570584926E-01
  -3.594610813       300.0000000       39269.97291      -901.5201647       19363.44405       14.37834675      -7.986175738      0.2493758693E-01
  -3.589610813       300.0000000       37769.96646      -695.0031112       20110.53828       12.62625740      -8.643799106      0.2439652920E-01
  -3.584610813       300.0000000       36100.60735      -498.5192788       20845.76015       10.85753168      -9.360057493      0.2409628363E-01
  -3.579610813       300.0000000       34299.14516      -317.2961315       21542.33421       9.095050078      -10.12538441      0.2404003923E-01
  -3.574610813       300.0000000       32404.86185      -156.1113107       22172.02456       7.361069621      -10.92530805      0.2421980935E-01
  -3.569610813       300.0000000       30456.53478      -19.07379800       22706.43598       5.677344298      -11.74080823      0.2461595161E-01
  -3.564610813       300.0000000       28489.94888       90.66838581       23118.37042       4.065164747      -12.54893919      0.2519706041E-01
  -3.559610813       300.0000000       26535.86119       171.2337673       23383.20028       2.545235402      -13.32372311      0.2592037386E-01
  -3.554610813       300.0000000       24618.73240       222.2552800       23480.20205       1.137324628      -14.03730422      0.2673285819E-01
  -3.549610813       300.0000000       22756.36939       245.0026300       23393.77097     -0.1403358462      -14.66133347      0.2757311108E-01
  -3.544610813       300.0000000       20960.42315       242.3310644       23114.42223      -1.271866808      -15.16852849      0.2837415176E-01
  -3.539610813       300.0000000       19237.52109       218.4423085       22639.48551      -2.244675245      -15.53432723      0.2906704928E-01
  -3.534610813       300.0000000       17590.72411       178.4834917       21973.42130      -3.050363004      -15.73852850      0.2958520112E-01
  -3.529610813       300.0000000       16020.99909       128.0445397       21127.72095      -3.685454380      -15.76679186      0.2986893889E-01
  -3.524610813       300.0000000       14528.46653       72.63353366       20120.39013      -4.151809319      -15.61185694      0.2987003108E-01
  -3.519610813       300.0000000       13113.28462       17.20852426       18975.04854      -4.456639375      -15.27434111      0.2955559295E-01
  -3.514610813       300.0000000       11776.13148      -34.17407523       17719.70446      -4.612106256      -14.76299199      0.2891091398E-01
  -3.509610813       300.0000000       10518.32329      -78.56248082       16385.28347      -4.634542304      -14.09431135      0.2794078658E-01
  -3.504610813       300.0000000       9341.652097      -114.1610201       15004.00776      -4.543378603      -13.29153138      0.2666907055E-01
  -3.499610813       300.0000000       8248.045363      -140.2508187       13607.73815      -4.359895749      -12.38300858      0.2513644985E-01
  -3.494610813       300.0000000       7239.148785      -157.0152429       12226.40202      -4.105924947      -11.40018879      0.2339660342E-01
  -3.489610813       300.0000000       6315.920871      -165.3114092       10886.63159      -3.802624499      -10.37537073      0.2151126743E-01
  -3.484610813       300.0000000       5478.307490      -166.4272162       9610.722059      -3.469440036      -9.339532062      0.1954484885E-01
  -3.479610813       300.0000000       4725.040004      -161.8561110       8415.985849      -3.123327548      -8.320469329      0.1755930549E-01
  -3.474610813       300.0000000       4053.574389      -153.1115330       7314.531318      -2.778279827      -7.341441330      0.1560991639E-01
  -3.469610813       300.0000000       3460.164299      -141.5919614       6313.440344      -2.445155381      -6.420410130      0.1374235461E-01
  -3.464610813       300.0000000       2940.041814      -128.4976552       5415.272086      -2.131771863      -5.569871118      0.1199120475E-01
  -3.459610813       300.0000000       2487.668271      -114.7928651       4618.789703      -1.843200316      -4.797178003      0.1037981479E-01
  -3.454610813       300.0000000       2097.014923      -101.2031339       3919.797758      -1.582185449      -4.105217530      0.8921192792E-02
  -3.449610813       300.0000000       1761.837873      -88.23607322       3311.988713      -1.349620201      -3.493275462      0.7619578264E-02
  -3.444610813       300.0000000       1475.921059      -76.21500827       2787.720763      -1.145015952      -2.957952995      0.6472326841E-02
  -3.439610813       300.0000000       1233.271967      -65.31713408       2338.678376     -0.9669277055      -2.494028262      0.5471815038E-02
  -3.434610813       300.0000000       1028.264643      -55.61047176       1956.394194     -0.8133116270      -2.095198052      0.4607165661E-02
  -3.429610813       300.0000000       855.7321166      -47.08632687       1632.632378     -0.6818072810      -1.754670924      0.3865685827E-02
  -3.424610813       300.0000000       711.0150185      -39.68583103       1359.647474     -0.5699474473      -1.465609764      0.3233982616E-02
  -3.419610813       300.0000000       589.9753319      -33.32041468       1130.340072     -0.4753045785      -1.221438676      0.2698770784E-02
  -3.414610813       300.0000000       488.9845060      -27.88679209       938.3324635     -0.3955856054      -1.016037319      0.2247414461E-02
  -3.409610813       300.0000000       404.8942731      -23.27737148       777.9861192     -0.3286870309     -0.8438479087      0.1868255503E-02
  -3.404610813       300.0000000       334.9970665      -19.38707484       644.3796121     -0.2727210744     -0.6999183405      0.1550781062E-02
  -3.399610813       300.0000000       276.9813463      -16.11747561       533.2618073     -0.2260218127     -0.5799013648      0.1285676799E-02
  -3.394610813       300.0000000       228.8856578      -13.37901971       440.9914577     -0.1871383188     -0.4800255666      0.1064803650E-02
  -3.389610813       300.0000000       189.0540011      -11.09193560       364.4711301     -0.1548200136     -0.3970499550      0.8811272532E-03
  -3.384610813       300.0000000       156.0941070      -9.186290920       301.0808031     -0.1279979426     -0.3282105812      0.7286212848E-03
  -3.379610813       300.0000000       128.8394890      -7.601526949       248.6145005     -0.1057645035     -0.2711648909      0.6021595173E-03
  -3.374610813       300.0000000       106.3156301      -6.285702976       205.2218893     -0.8735325947E-01 -0.2239374680      0.4974063777E-03
  -3.369610813       300.0000000       87.71032085      -5.194606528       169.3557704     -0.7211982816E-01 -0.1848693355      0.4107120996E-03
  -3.364610813       300.0000000       72.34795335      -4.290830498       139.7257256     -0.5952438514E-01 -0.1525719450      0.3390159289E-03
  -3.359610813       300.0000000       59.66745779      -3.542879009       115.2577654     -0.4911602140E-01 -0.1258862919      0.2797590481E-03
  -3.354610813       300.0000000       49.20350787      -2.924337056       95.05957706     -0.4051899947E-01 -0.1038471513      0.2308077081E-03
  -3.349610813       300.0000000       40.57060945      -2.413121130       78.39084879     -0.3342083530E-01 -0.8565216752E-01  0.1903863302E-03
  -3.344610813       300.0000000       33.44969615      -1.990816539       64.63809830     -0.2756206768E-01 -0.7063538713E-01  0.1570199135E-03
  -3.339610813       300.0000000       27.57688205      -1.642100140       53.29343593     -0.2272754530E-01 -0.5824476098E-01  0.1294848762E-03
  -3.334610813       300.0000000       22.73405499      -1.354243147       43.93672500     -0.1873905259E-01 -0.4802313271E-01  0.1067673733E-03
  -3.329610813       300.0000000       18.74103014      -1.116686657       36.22064815     -0.1544909979E-01 -0.3959224755E-01  0.8802814529E-04
  -3.324610813       300.0000000       15.44901916     -0.9206817099       29.85824152     -0.1273571408E-01 -0.3263935221E-01  0.7257299785E-04
