 written on  7Jul2026 at 13:18:25 
         100
          21
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -3   -1    0    5    5   -0.000131    0.000007
   -3   -1    0    6    5   -0.000226    0.000004
   -3   -1    0    7    5   -0.000118   -0.000001
   -3   -1    0    8    5   -0.000001   -0.000002
   -3   -1    0    9    5   -0.000134   -0.000003
   -3   -1    0   10    5    0.000118   -0.000007
   -3   -1    0   11    5   -0.000494    0.000005
   -3   -1    0   12    5    0.000296   -0.000005
   -3   -1    0   13    5   -0.000139   -0.000002
   -3   -1    0   14    5   -0.000105   -0.000004
   -3   -1    0   15    5   -0.000099   -0.000005
   -3   -1    0   16    5    0.000410    0.000004
   -3   -1    0   17    5   -0.000962    0.000011
   -3   -1    0   18    5   -0.000431    0.000032
   -3   -1    0   19    5   -0.000331    0.000000
   -3   -1    0   20    5    0.000821   -0.000006
   -3   -1    0   21    5   -0.000106    0.000002
   -3   -1    0   22    5   -0.000132   -0.000011
   -3   -1    0   23    5    0.000216   -0.000003
   -3   -1    0   24    5   -0.000094   -0.000021
   -3   -1    0   25    5   -0.000137   -0.000006
   -3   -1    0   26    5   -0.000135   -0.000007
   -3   -1    0   27    5   -0.000152   -0.000001
   -3   -1    0   28    5    0.000198   -0.000000
   -3   -1    0   29    5   -0.000083   -0.000004
   -3   -1    0   30    5    0.000425    0.000026
   -3   -1    0   31    5   -0.000146    0.000037
   -3   -1    0   32    5    0.000495    0.000047
   -3   -1    0   33    5   -0.000087   -0.000001
   -3   -1    0   34    5    0.000143    0.000003
   -3   -1    0   35    5   -0.000161   -0.000001
   -3   -1    0   36    5   -0.000123   -0.000002
   -3   -1    0   37    5   -0.000256    0.000014
   -3   -1    0   38    5   -0.000002   -0.000014
   -3   -1    0   39    5   -0.000093   -0.000020
   -3   -1    0   40    5    0.000075    0.000001
   -3   -1    0   41    5   -0.000424    0.000007
   -3   -1    0   42    5   -0.000030   -0.000001
   -3   -1    0   43    5   -0.000003    0.000007
   -3   -1    0   44    5   -0.000103   -0.000024
   -3   -1    0   45    5    0.000104    0.000000
   -3   -1    0   46    5    0.000047    0.000001
   -3   -1    0   47    5    0.000039   -0.000003
   -3   -1    0   48    5   -0.000073    0.000001
   -3   -1    0   49    5    0.000041   -0.000002
   -3   -1    0   50    5   -0.000062    0.000006
   -3   -1    0   51    5   -0.000102   -0.000000
   -3   -1    0   52    5   -0.000080   -0.000002
   -3   -1    0   53    5    0.000064    0.000003
   -3   -1    0   54    5    0.000016   -0.000001
   -3   -1    0   55    5    0.000053   -0.000001
   -3   -1    0   56    5   -0.000001   -0.000000
   -3   -1    0   57    5    0.000066   -0.000002
   -3   -1    0   58    5    0.000013   -0.000001
   -3   -1    0   59    5   -0.000285    0.000002
   -3   -1    0   60    5   -0.000024    0.000000
   -3   -1    0   61    5    0.000267   -0.000007
   -3   -1    0   62    5   -0.000044   -0.000006
   -3   -1    0   63    5   -0.000285    0.000015
   -3   -1    0   64    5    0.000172   -0.000023
   -3   -1    0   65    5    0.000228   -0.000001
   -3   -1    0   66    5    0.000041   -0.000005
   -3   -1    0   67    5    0.000336   -0.000008
   -3   -1    0   68    5   -0.000312    0.000006
   -3   -1    0   69    5   -0.000272    0.000003
   -3   -1    0   70    5    0.000052    0.000004
   -3   -1    0   71    5    0.000123    0.000000
   -3   -1    0   72    5    0.000007    0.000008
   -3   -1    0   73    5   -0.000293   -0.000026
   -3   -1    0   74    5   -0.000133    0.000005
   -3   -1    0   75    5    0.000149    0.000006
   -3   -1    0   76    5    0.000424    0.000011
   -3   -1    0   77    5    0.000146    0.000004
   -3   -1    0   78    5    0.000016    0.000006
   -3   -1    0   79    5   -0.000161    0.000003
   -3   -1    0   80    5   -0.000146    0.000012
   -3   -1    0   81    5   -0.000451   -0.000006
   -3   -1    0   82    5    0.000095   -0.000014
   -3   -1    0   83    5   -0.000439   -0.000043
   -3   -1    0   84    5    0.000115   -0.000012
   -3   -1    0   85    5   -0.000294   -0.000012
   -3   -1    0   86    5   -0.000077   -0.000027
   -3   -1    0   87    5   -0.000204   -0.000022
   -3   -1    0   88    5    0.000337   -0.000018
   -3   -1    0   89    5   -0.000035   -0.000024
   -3   -1    0   90    5    0.000026   -0.000018
   -3   -1    0   91    5    0.000258   -0.000010
   -3   -1    0   92    5    0.000064   -0.000005
   -3   -1    0   93    5   -0.000818   -0.000061
   -3   -1    0   94    5    0.000454   -0.000119
   -3   -1    0   95    5   -0.000068    0.000072
   -3   -1    0   96    5    0.000183   -0.000018
   -3   -1    0   97    5   -0.000219    0.000009
   -3   -1    0   98    5   -0.000030    0.000002
   -3   -1    0   99    5    0.000082    0.000003
   -3   -1    0  100    5    0.000065    0.000006
   -3   -1    0    1    6    0.000136   -0.000001
   -3   -1    0    2    6    0.000105   -0.000013
   -3   -1    0    3    6    0.000246   -0.000004
   -3   -1    0    4    6    0.000002    0.000002
   -3   -1    0    5    6   -0.000090    0.000005
   -3   -1    0    6    6   -0.000090    0.000008
   -3   -1    0    7    6   -0.000095   -0.000002
   -3   -1    0    8    6   -0.000001    0.000001
   -3   -1    0    9    6   -0.000114   -0.000001
   -3   -1    0   10    6   -0.000083   -0.000002
   -3   -1    0   11    6    0.000340   -0.000032
   -3   -1    0   12    6    0.000061   -0.000002
   -3   -1    0   13    6    0.000100   -0.000004
